symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,disease
irregular heartbeat,jaw pain,dizziness,shortness of breath,left arm pain,chest pain,cold sweat,fatigue,heart attack
hunger,slow healing,blurred vision,increased thirst,frequent urination,weight loss,tingling in feet,fatigue,diabetes
chills,nausea,fever,rapid heartbeat,vomiting,muscle pain,fatigue,,malaria
loss of appetite,body pain,chills,sore throat,headache,weakness,fatigue,high temperature,fever
rapid heartbeat,chills,fever,fatigue,nausea,vomiting,headache,muscle pain,malaria
increased thirst,slow healing,blurred vision,weight loss,hunger,tingling in feet,frequent urination,fatigue,diabetes
fatigue,vomiting,fever,nausea,muscle pain,headache,chills,,malaria
vomiting,abdominal pain,fever,weakness,loss of appetite,body ache,constipation,,typhoid
loss of appetite,fatigue,bleeding,pain,lump,night sweats,skin changes,weight loss,cancer
weight loss,frequent urination,increased thirst,blurred vision,tingling in feet,fatigue,hunger,,diabetes
dry cough,vomiting,fever,body ache,weakness,abdominal pain,loss of appetite,constipation,typhoid
rapid heartbeat,fever,sweating,headache,nausea,chills,vomiting,fatigue,malaria
fatigue,rapid breathing,shortness of breath,chills,fever,chest pain,phlegm,cough,pneumonia
fatigue,weight loss,increased thirst,frequent urination,slow healing,hunger,blurred vision,tingling in feet,diabetes
fatigue,headache,vomiting,sound sensitivity,sensitivity to light,vision issues,neck pain,,migraine
dry skin,weight gain,hair loss,slow heart rate,fatigue,memory problems,muscle weakness,depression,thyroid
sore throat,loss of appetite,high temperature,fatigue,body pain,weakness,headache,,fever
nausea,left arm pain,dizziness,shortness of breath,jaw pain,fatigue,chest pain,,heart attack
hunger,tingling in feet,weight loss,blurred vision,slow healing,fatigue,frequent urination,increased thirst,diabetes
chest tightness,breathlessness,trouble sleeping,fatigue,coughing,short breaths,wheezing,,asthma
fatigue,trouble sleeping,short breaths,rapid breathing,wheezing,coughing,chest tightness,breathlessness,asthma
fatigue,chest pain,irregular heartbeat,cold sweat,left arm pain,dizziness,shortness of breath,nausea,heart attack
slow healing,blurred vision,increased thirst,frequent urination,hunger,fatigue,weight loss,tingling in feet,diabetes
sound sensitivity,neck pain,vomiting,sensitivity to light,nausea,fatigue,headache,vision issues,migraine
headache,sweating,fatigue,body pain,chills,sore throat,loss of appetite,,fever
fatigue,sore throat,body pain,high temperature,chills,headache,loss of appetite,weakness,fever
nausea,fever,vomiting,muscle pain,rapid heartbeat,chills,fatigue,,malaria
vomiting,fatigue,neck pain,nausea,vision issues,headache,sound sensitivity,,migraine
breathlessness,wheezing,trouble sleeping,chest tightness,fatigue,rapid breathing,short breaths,coughing,asthma
weakness,sore throat,high temperature,fatigue,chills,body pain,headache,sweating,fever
shortness of breath,irregular heartbeat,nausea,cold sweat,chest pain,fatigue,left arm pain,,heart attack
fatigue,sweating,chills,vomiting,headache,fever,rapid heartbeat,,malaria
rapid breathing,phlegm,fatigue,shortness of breath,fever,chest pain,chills,cough,pneumonia
chills,fatigue,headache,sore throat,weakness,loss of appetite,sweating,,fever
weight loss,skin changes,lump,night sweats,pain,fatigue,bleeding,,cancer
nausea,fever,sweating,fatigue,rapid heartbeat,chills,headache,muscle pain,malaria
muscle pain,fever,sweating,fatigue,rapid heartbeat,headache,vomiting,,malaria
hair loss,dry skin,slow heart rate,muscle weakness,memory problems,depression,fatigue,weight gain,thyroid
weakness,abdominal pain,constipation,fever,loss of appetite,headache,vomiting,,typhoid
chest pain,nausea,fatigue,irregular heartbeat,jaw pain,left arm pain,dizziness,shortness of breath,heart attack
frequent urination,fatigue,slow healing,weight loss,increased thirst,blurred vision,hunger,tingling in feet,diabetes
vomiting,headache,constipation,dry cough,loss of appetite,weakness,body ache,fever,typhoid
weight gain,dry skin,fatigue,memory problems,depression,slow heart rate,hair loss,,thyroid
rapid heartbeat,vomiting,chills,fatigue,nausea,headache,fever,,malaria
shortness of breath,chest pain,irregular heartbeat,cold sweat,nausea,fatigue,jaw pain,dizziness,heart attack
night sweats,skin changes,pain,weight loss,weakness,fatigue,bleeding,loss of appetite,cancer
chest pain,nausea,cold sweat,jaw pain,dizziness,shortness of breath,irregular heartbeat,,heart attack
left arm pain,jaw pain,chest pain,irregular heartbeat,nausea,cold sweat,dizziness,fatigue,heart attack
fever,body ache,abdominal pain,headache,constipation,dry cough,vomiting,loss of appetite,typhoid
chest pain,cold sweat,jaw pain,irregular heartbeat,left arm pain,nausea,fatigue,shortness of breath,heart attack
sweating,nausea,headache,vomiting,muscle pain,rapid heartbeat,fever,chills,malaria
chest tightness,rapid breathing,coughing,fatigue,trouble sleeping,wheezing,breathlessness,short breaths,asthma
vomiting,nausea,fatigue,chills,headache,rapid heartbeat,muscle pain,fever,malaria
weight loss,weakness,loss of appetite,skin changes,pain,night sweats,lump,fatigue,cancer
night sweats,fatigue,bleeding,lump,skin changes,pain,loss of appetite,,cancer
fatigue,chills,muscle pain,headache,nausea,fever,vomiting,sweating,malaria
rapid breathing,short breaths,chest tightness,fatigue,trouble sleeping,breathlessness,coughing,,asthma
weight loss,pain,skin changes,weakness,lump,loss of appetite,night sweats,,cancer
chills,sore throat,high temperature,sweating,fatigue,headache,body pain,weakness,fever
constipation,headache,weakness,abdominal pain,body ache,vomiting,fever,dry cough,typhoid
rapid heartbeat,chills,muscle pain,nausea,vomiting,sweating,fever,,malaria
fatigue,chest tightness,trouble sleeping,breathlessness,coughing,rapid breathing,short breaths,,asthma
fatigue,trouble sleeping,coughing,wheezing,chest tightness,short breaths,breathlessness,rapid breathing,asthma
nausea,fatigue,shortness of breath,irregular heartbeat,chest pain,jaw pain,cold sweat,,heart attack
dizziness,shortness of breath,nausea,chest pain,jaw pain,left arm pain,irregular heartbeat,cold sweat,heart attack
headache,sweating,sore throat,chills,high temperature,body pain,fatigue,loss of appetite,fever
vision issues,vomiting,headache,fatigue,nausea,sound sensitivity,sensitivity to light,,migraine
slow heart rate,depression,dry skin,weight gain,muscle weakness,hair loss,fatigue,,thyroid
fatigue,night sweats,lump,skin changes,bleeding,pain,weight loss,weakness,cancer
frequent urination,hunger,slow healing,tingling in feet,fatigue,weight loss,increased thirst,,diabetes
rapid breathing,chills,chest pain,cough,fatigue,phlegm,fever,,pneumonia
sound sensitivity,vomiting,headache,sensitivity to light,fatigue,vision issues,nausea,neck pain,migraine
sweating,weakness,loss of appetite,chills,headache,body pain,sore throat,,fever
fatigue,cold sweat,irregular heartbeat,jaw pain,shortness of breath,left arm pain,nausea,chest pain,heart attack
loss of appetite,weakness,dry cough,constipation,headache,fever,body ache,,typhoid
shortness of breath,cold sweat,fatigue,chest pain,irregular heartbeat,jaw pain,dizziness,,heart attack
pain,loss of appetite,bleeding,night sweats,weakness,weight loss,fatigue,,cancer
coughing,rapid breathing,wheezing,short breaths,trouble sleeping,breathlessness,fatigue,chest tightness,asthma
cold sweat,shortness of breath,left arm pain,chest pain,jaw pain,irregular heartbeat,fatigue,nausea,heart attack
headache,vomiting,loss of appetite,constipation,body ache,weakness,dry cough,abdominal pain,typhoid
lump,pain,night sweats,bleeding,weakness,loss of appetite,weight loss,skin changes,cancer
frequent urination,blurred vision,increased thirst,tingling in feet,weight loss,slow healing,hunger,fatigue,diabetes
nausea,neck pain,vision issues,sound sensitivity,headache,vomiting,sensitivity to light,,migraine
sweating,chills,muscle pain,fatigue,rapid heartbeat,fever,nausea,,malaria
shortness of breath,fatigue,chest pain,phlegm,chills,cough,fever,,pneumonia
fatigue,phlegm,shortness of breath,rapid breathing,fever,chills,cough,chest pain,pneumonia
headache,vomiting,vision issues,fatigue,sound sensitivity,neck pain,nausea,,migraine
night sweats,lump,pain,fatigue,weakness,weight loss,loss of appetite,,cancer
sweating,high temperature,sore throat,fatigue,loss of appetite,body pain,headache,,fever
shortness of breath,chest pain,cough,fever,rapid breathing,phlegm,fatigue,chills,pneumonia
vomiting,body ache,weakness,abdominal pain,dry cough,fever,constipation,,typhoid
rapid breathing,shortness of breath,cough,fatigue,phlegm,fever,chills,,pneumonia
nausea,headache,fatigue,vomiting,vision issues,neck pain,sensitivity to light,,migraine
jaw pain,fatigue,shortness of breath,chest pain,irregular heartbeat,dizziness,cold sweat,nausea,heart attack
chest pain,cold sweat,fatigue,shortness of breath,nausea,jaw pain,dizziness,,heart attack
slow heart rate,depression,memory problems,weight gain,muscle weakness,hair loss,fatigue,dry skin,thyroid
muscle pain,sweating,rapid heartbeat,fever,vomiting,fatigue,nausea,headache,malaria
skin changes,loss of appetite,weakness,night sweats,fatigue,pain,bleeding,,cancer
weight gain,slow heart rate,dry skin,muscle weakness,memory problems,depression,fatigue,hair loss,thyroid
sore throat,chills,loss of appetite,fatigue,weakness,headache,high temperature,,fever
hair loss,weight gain,depression,muscle weakness,slow heart rate,fatigue,dry skin,memory problems,thyroid
high temperature,loss of appetite,chills,sore throat,body pain,sweating,weakness,headache,fever
pain,loss of appetite,night sweats,bleeding,fatigue,lump,skin changes,weakness,cancer
fatigue,coughing,wheezing,chest tightness,trouble sleeping,breathlessness,rapid breathing,,asthma
irregular heartbeat,chest pain,left arm pain,jaw pain,cold sweat,fatigue,nausea,,heart attack
weight gain,memory problems,dry skin,fatigue,slow heart rate,hair loss,muscle weakness,depression,thyroid
muscle pain,sweating,rapid heartbeat,chills,fever,vomiting,fatigue,,malaria
phlegm,fever,chills,fatigue,shortness of breath,rapid breathing,chest pain,,pneumonia
fever,fatigue,cough,chills,shortness of breath,chest pain,rapid breathing,phlegm,pneumonia
fatigue,rapid breathing,chest pain,shortness of breath,chills,cough,fever,phlegm,pneumonia
dry skin,fatigue,slow heart rate,hair loss,memory problems,muscle weakness,depression,,thyroid
hair loss,muscle weakness,slow heart rate,depression,dry skin,weight gain,memory problems,,thyroid
frequent urination,increased thirst,weight loss,blurred vision,fatigue,hunger,tingling in feet,,diabetes
irregular heartbeat,jaw pain,chest pain,nausea,shortness of breath,cold sweat,dizziness,,heart attack
chills,chest pain,shortness of breath,phlegm,fatigue,cough,rapid breathing,fever,pneumonia
fatigue,chest pain,jaw pain,irregular heartbeat,left arm pain,cold sweat,nausea,dizziness,heart attack
tingling in feet,slow healing,hunger,blurred vision,fatigue,frequent urination,weight loss,,diabetes
shortness of breath,cough,phlegm,fatigue,chills,fever,rapid breathing,,pneumonia
fatigue,weight loss,tingling in feet,hunger,increased thirst,slow healing,frequent urination,,diabetes
weakness,body ache,headache,fever,constipation,loss of appetite,dry cough,,typhoid
shortness of breath,cough,fatigue,chest pain,chills,fever,rapid breathing,phlegm,pneumonia
fatigue,breathlessness,short breaths,wheezing,chest tightness,trouble sleeping,rapid breathing,,asthma
loss of appetite,fatigue,weight loss,bleeding,pain,skin changes,lump,,cancer
rapid breathing,fatigue,chills,fever,chest pain,phlegm,cough,,pneumonia
sensitivity to light,headache,vomiting,fatigue,sound sensitivity,vision issues,nausea,neck pain,migraine
fever,vomiting,chills,muscle pain,headache,rapid heartbeat,sweating,,malaria
nausea,sweating,chills,headache,fatigue,muscle pain,fever,vomiting,malaria
chills,headache,vomiting,muscle pain,rapid heartbeat,sweating,fever,fatigue,malaria
chest pain,fatigue,dizziness,nausea,left arm pain,cold sweat,jaw pain,,heart attack
nausea,headache,vision issues,vomiting,neck pain,fatigue,sound sensitivity,,migraine
lump,pain,weakness,skin changes,loss of appetite,night sweats,fatigue,,cancer
shortness of breath,fatigue,cough,rapid breathing,fever,phlegm,chest pain,,pneumonia
frequent urination,blurred vision,increased thirst,slow healing,fatigue,hunger,weight loss,tingling in feet,diabetes
left arm pain,fatigue,shortness of breath,irregular heartbeat,nausea,jaw pain,cold sweat,dizziness,heart attack
vomiting,body ache,loss of appetite,weakness,headache,constipation,fever,,typhoid
chest pain,nausea,cold sweat,fatigue,shortness of breath,irregular heartbeat,left arm pain,,heart attack
rapid breathing,phlegm,chills,fatigue,fever,cough,chest pain,shortness of breath,pneumonia
weakness,chills,headache,sore throat,body pain,sweating,high temperature,loss of appetite,fever
neck pain,fatigue,sound sensitivity,sensitivity to light,vision issues,nausea,headache,,migraine
left arm pain,jaw pain,nausea,cold sweat,shortness of breath,dizziness,irregular heartbeat,fatigue,heart attack
sore throat,headache,sweating,fatigue,body pain,loss of appetite,weakness,,fever
wheezing,coughing,fatigue,rapid breathing,chest tightness,short breaths,trouble sleeping,,asthma
phlegm,shortness of breath,cough,rapid breathing,chills,fever,chest pain,,pneumonia
nausea,muscle pain,sweating,headache,rapid heartbeat,chills,fever,,malaria
fatigue,nausea,vision issues,vomiting,sound sensitivity,neck pain,sensitivity to light,,migraine
cold sweat,left arm pain,dizziness,fatigue,nausea,shortness of breath,chest pain,jaw pain,heart attack
weakness,sweating,high temperature,loss of appetite,fatigue,sore throat,headache,,fever
short breaths,trouble sleeping,coughing,chest tightness,wheezing,breathlessness,fatigue,,asthma
pain,weakness,loss of appetite,weight loss,fatigue,night sweats,lump,,cancer
headache,fever,sweating,fatigue,vomiting,chills,rapid heartbeat,muscle pain,malaria
jaw pain,chest pain,dizziness,shortness of breath,left arm pain,irregular heartbeat,fatigue,nausea,heart attack
fatigue,neck pain,sound sensitivity,headache,sensitivity to light,vision issues,vomiting,nausea,migraine
fever,vomiting,loss of appetite,constipation,dry cough,headache,abdominal pain,weakness,typhoid
blurred vision,increased thirst,slow healing,hunger,frequent urination,weight loss,tingling in feet,fatigue,diabetes
sore throat,sweating,body pain,chills,headache,fatigue,loss of appetite,,fever
rapid heartbeat,headache,chills,sweating,vomiting,nausea,fatigue,,malaria
coughing,wheezing,chest tightness,trouble sleeping,short breaths,rapid breathing,fatigue,breathlessness,asthma
cough,shortness of breath,rapid breathing,fatigue,fever,chest pain,phlegm,,pneumonia
hunger,frequent urination,tingling in feet,fatigue,increased thirst,weight loss,blurred vision,slow healing,diabetes
abdominal pain,vomiting,headache,dry cough,loss of appetite,constipation,fever,,typhoid
chest pain,shortness of breath,fatigue,dizziness,nausea,irregular heartbeat,jaw pain,cold sweat,heart attack
vomiting,chills,nausea,fever,rapid heartbeat,headache,sweating,muscle pain,malaria
jaw pain,irregular heartbeat,dizziness,cold sweat,left arm pain,shortness of breath,fatigue,chest pain,heart attack
vomiting,headache,sensitivity to light,vision issues,fatigue,nausea,neck pain,sound sensitivity,migraine
rapid heartbeat,headache,muscle pain,nausea,chills,fever,vomiting,sweating,malaria
sore throat,loss of appetite,high temperature,chills,headache,weakness,fatigue,,fever
nausea,muscle pain,headache,sweating,fatigue,fever,vomiting,chills,malaria
left arm pain,cold sweat,irregular heartbeat,jaw pain,dizziness,chest pain,fatigue,,heart attack
fatigue,depression,memory problems,dry skin,hair loss,slow heart rate,muscle weakness,weight gain,thyroid
muscle weakness,depression,fatigue,dry skin,hair loss,slow heart rate,weight gain,,thyroid
chest pain,left arm pain,fatigue,dizziness,irregular heartbeat,jaw pain,nausea,,heart attack
fatigue,loss of appetite,sore throat,high temperature,chills,headache,body pain,,fever
vomiting,fever,abdominal pain,weakness,headache,constipation,dry cough,loss of appetite,typhoid
shortness of breath,left arm pain,dizziness,jaw pain,nausea,irregular heartbeat,chest pain,,heart attack
vision issues,neck pain,sensitivity to light,fatigue,sound sensitivity,headache,vomiting,,migraine
fever,chills,rapid breathing,chest pain,phlegm,fatigue,shortness of breath,cough,pneumonia
chills,fatigue,body pain,loss of appetite,high temperature,headache,sore throat,,fever
lump,weakness,loss of appetite,fatigue,weight loss,skin changes,night sweats,,cancer
nausea,chest pain,shortness of breath,dizziness,jaw pain,cold sweat,left arm pain,irregular heartbeat,heart attack
skin changes,night sweats,fatigue,loss of appetite,pain,lump,bleeding,,cancer
chills,fever,cough,fatigue,chest pain,shortness of breath,rapid breathing,phlegm,pneumonia
neck pain,sensitivity to light,nausea,fatigue,sound sensitivity,headache,vomiting,,migraine
body pain,high temperature,sweating,headache,chills,weakness,sore throat,,fever
weight loss,bleeding,lump,fatigue,pain,weakness,skin changes,,cancer
vision issues,nausea,vomiting,neck pain,sound sensitivity,sensitivity to light,headache,,migraine
depression,hair loss,muscle weakness,weight gain,dry skin,fatigue,memory problems,slow heart rate,thyroid
dry skin,depression,hair loss,slow heart rate,memory problems,fatigue,weight gain,muscle weakness,thyroid
trouble sleeping,rapid breathing,short breaths,chest tightness,breathlessness,fatigue,wheezing,,asthma
fever,chest pain,shortness of breath,phlegm,rapid breathing,chills,cough,,pneumonia
hunger,tingling in feet,frequent urination,weight loss,increased thirst,fatigue,slow healing,blurred vision,diabetes
left arm pain,fatigue,nausea,irregular heartbeat,dizziness,jaw pain,shortness of breath,cold sweat,heart attack
chest tightness,breathlessness,short breaths,coughing,rapid breathing,wheezing,trouble sleeping,,asthma
chest pain,fever,fatigue,shortness of breath,phlegm,chills,rapid breathing,cough,pneumonia
chills,fever,sweating,vomiting,muscle pain,headache,rapid heartbeat,,malaria
fatigue,memory problems,muscle weakness,dry skin,slow heart rate,hair loss,depression,weight gain,thyroid
rapid breathing,fatigue,coughing,wheezing,breathlessness,trouble sleeping,short breaths,,asthma
tingling in feet,fatigue,blurred vision,slow healing,weight loss,hunger,increased thirst,,diabetes
hunger,slow healing,weight loss,frequent urination,blurred vision,tingling in feet,increased thirst,fatigue,diabetes
increased thirst,frequent urination,slow healing,tingling in feet,fatigue,weight loss,blurred vision,hunger,diabetes
headache,loss of appetite,weakness,dry cough,body ache,fever,vomiting,abdominal pain,typhoid
slow healing,hunger,weight loss,tingling in feet,frequent urination,increased thirst,blurred vision,,diabetes
chest pain,cough,rapid breathing,fatigue,shortness of breath,phlegm,chills,fever,pneumonia
rapid breathing,fatigue,cough,shortness of breath,chest pain,fever,phlegm,,pneumonia
nausea,neck pain,vomiting,sensitivity to light,vision issues,sound sensitivity,headache,fatigue,migraine
fatigue,night sweats,weakness,skin changes,weight loss,loss of appetite,lump,bleeding,cancer
left arm pain,dizziness,fatigue,jaw pain,shortness of breath,chest pain,cold sweat,,heart attack
phlegm,chills,fever,chest pain,rapid breathing,shortness of breath,fatigue,cough,pneumonia
breathlessness,trouble sleeping,wheezing,short breaths,rapid breathing,chest tightness,coughing,fatigue,asthma
fatigue,fever,chest pain,rapid breathing,cough,phlegm,shortness of breath,chills,pneumonia
chest tightness,fatigue,rapid breathing,breathlessness,coughing,trouble sleeping,wheezing,short breaths,asthma
sensitivity to light,vomiting,nausea,vision issues,sound sensitivity,headache,neck pain,,migraine
muscle pain,fever,sweating,rapid heartbeat,chills,headache,vomiting,nausea,malaria
fever,weakness,constipation,loss of appetite,abdominal pain,headache,body ache,vomiting,typhoid
fatigue,irregular heartbeat,jaw pain,left arm pain,shortness of breath,chest pain,dizziness,nausea,heart attack
slow heart rate,depression,dry skin,muscle weakness,memory problems,fatigue,weight gain,hair loss,thyroid
chest tightness,coughing,short breaths,trouble sleeping,fatigue,wheezing,rapid breathing,breathlessness,asthma
nausea,vision issues,headache,sound sensitivity,vomiting,fatigue,sensitivity to light,,migraine
cold sweat,left arm pain,dizziness,fatigue,shortness of breath,jaw pain,chest pain,nausea,heart attack
hunger,tingling in feet,slow healing,blurred vision,increased thirst,fatigue,frequent urination,weight loss,diabetes
hair loss,memory problems,weight gain,dry skin,slow heart rate,muscle weakness,depression,fatigue,thyroid
loss of appetite,constipation,body ache,vomiting,dry cough,abdominal pain,fever,,typhoid
chest pain,dizziness,left arm pain,jaw pain,fatigue,cold sweat,shortness of breath,irregular heartbeat,heart attack
chest pain,fever,shortness of breath,fatigue,chills,rapid breathing,phlegm,cough,pneumonia
chest pain,fever,shortness of breath,cough,chills,phlegm,fatigue,rapid breathing,pneumonia
muscle weakness,hair loss,depression,slow heart rate,fatigue,weight gain,dry skin,,thyroid
muscle pain,vomiting,fatigue,headache,sweating,fever,nausea,,malaria
weight loss,lump,night sweats,weakness,fatigue,loss of appetite,bleeding,,cancer
vision issues,sound sensitivity,neck pain,sensitivity to light,vomiting,fatigue,nausea,headache,migraine
fatigue,fever,cough,chest pain,shortness of breath,phlegm,chills,rapid breathing,pneumonia
memory problems,muscle weakness,fatigue,weight gain,slow heart rate,depression,hair loss,dry skin,thyroid
fatigue,chills,nausea,fever,rapid heartbeat,headache,sweating,,malaria
vision issues,fatigue,nausea,neck pain,headache,sound sensitivity,vomiting,sensitivity to light,migraine
irregular heartbeat,left arm pain,dizziness,fatigue,jaw pain,nausea,chest pain,shortness of breath,heart attack
sound sensitivity,vision issues,nausea,neck pain,sensitivity to light,headache,vomiting,,migraine
cold sweat,irregular heartbeat,fatigue,shortness of breath,dizziness,chest pain,left arm pain,,heart attack
vision issues,nausea,fatigue,sensitivity to light,vomiting,neck pain,headache,sound sensitivity,migraine
nausea,irregular heartbeat,shortness of breath,dizziness,cold sweat,left arm pain,chest pain,,heart attack
constipation,headache,body ache,weakness,dry cough,abdominal pain,vomiting,,typhoid
fever,chills,rapid breathing,chest pain,cough,shortness of breath,phlegm,,pneumonia
vomiting,sound sensitivity,headache,sensitivity to light,neck pain,vision issues,nausea,,migraine
weight loss,slow healing,tingling in feet,hunger,fatigue,frequent urination,blurred vision,,diabetes
vomiting,nausea,vision issues,fatigue,headache,sound sensitivity,sensitivity to light,,migraine
nausea,vision issues,headache,fatigue,vomiting,sound sensitivity,sensitivity to light,,migraine
fatigue,bleeding,weight loss,night sweats,skin changes,loss of appetite,lump,weakness,cancer
weakness,abdominal pain,constipation,loss of appetite,vomiting,body ache,headache,dry cough,typhoid
dry skin,fatigue,slow heart rate,muscle weakness,depression,hair loss,weight gain,,thyroid
constipation,body ache,headache,loss of appetite,dry cough,fever,weakness,,typhoid
rapid heartbeat,vomiting,headache,muscle pain,chills,sweating,fever,nausea,malaria
bleeding,loss of appetite,pain,weight loss,weakness,skin changes,lump,,cancer
hunger,weight loss,slow healing,increased thirst,fatigue,tingling in feet,frequent urination,,diabetes
chest tightness,fatigue,breathlessness,rapid breathing,trouble sleeping,coughing,short breaths,wheezing,asthma
sore throat,headache,fatigue,body pain,chills,weakness,loss of appetite,,fever
weight gain,hair loss,fatigue,memory problems,dry skin,slow heart rate,muscle weakness,depression,thyroid
rapid breathing,trouble sleeping,fatigue,breathlessness,short breaths,chest tightness,coughing,,asthma
left arm pain,chest pain,dizziness,fatigue,nausea,shortness of breath,jaw pain,,heart attack
pain,fatigue,weight loss,skin changes,lump,bleeding,night sweats,weakness,cancer
irregular heartbeat,left arm pain,fatigue,shortness of breath,dizziness,nausea,cold sweat,,heart attack
tingling in feet,blurred vision,hunger,frequent urination,weight loss,slow healing,fatigue,,diabetes
slow heart rate,memory problems,weight gain,depression,muscle weakness,dry skin,hair loss,,thyroid
rapid breathing,coughing,chest tightness,breathlessness,fatigue,trouble sleeping,wheezing,,asthma
chest pain,cold sweat,nausea,left arm pain,dizziness,jaw pain,fatigue,shortness of breath,heart attack
frequent urination,fatigue,blurred vision,weight loss,increased thirst,slow healing,hunger,tingling in feet,diabetes
headache,body ache,constipation,fever,abdominal pain,loss of appetite,vomiting,dry cough,typhoid
chills,weakness,headache,body pain,sweating,loss of appetite,high temperature,fatigue,fever
wheezing,breathlessness,trouble sleeping,coughing,chest tightness,short breaths,rapid breathing,,asthma
skin changes,weakness,bleeding,pain,lump,weight loss,loss of appetite,fatigue,cancer
high temperature,chills,sore throat,fatigue,headache,body pain,sweating,loss of appetite,fever
tingling in feet,blurred vision,slow healing,fatigue,hunger,increased thirst,frequent urination,weight loss,diabetes
fatigue,dry skin,hair loss,weight gain,depression,memory problems,slow heart rate,muscle weakness,thyroid
left arm pain,irregular heartbeat,dizziness,jaw pain,shortness of breath,nausea,fatigue,,heart attack
night sweats,bleeding,fatigue,loss of appetite,skin changes,weakness,lump,weight loss,cancer
body ache,headache,loss of appetite,abdominal pain,fever,constipation,dry cough,,typhoid
shortness of breath,chest pain,fatigue,nausea,dizziness,cold sweat,left arm pain,,heart attack
high temperature,body pain,headache,weakness,fatigue,sweating,sore throat,loss of appetite,fever
fever,phlegm,cough,shortness of breath,chest pain,chills,rapid breathing,fatigue,pneumonia
coughing,short breaths,fatigue,trouble sleeping,wheezing,rapid breathing,breathlessness,chest tightness,asthma
headache,loss of appetite,vomiting,body ache,abdominal pain,dry cough,weakness,fever,typhoid
shortness of breath,chills,fever,cough,phlegm,rapid breathing,fatigue,chest pain,pneumonia
chills,headache,muscle pain,fever,sweating,fatigue,nausea,,malaria
memory problems,dry skin,slow heart rate,hair loss,depression,fatigue,muscle weakness,weight gain,thyroid
headache,loss of appetite,fever,dry cough,vomiting,constipation,body ache,,typhoid
chest pain,left arm pain,nausea,dizziness,jaw pain,irregular heartbeat,shortness of breath,fatigue,heart attack
cough,chest pain,fatigue,chills,fever,phlegm,rapid breathing,,pneumonia
muscle pain,headache,fever,rapid heartbeat,fatigue,nausea,vomiting,chills,malaria
wheezing,trouble sleeping,breathlessness,coughing,chest tightness,fatigue,rapid breathing,,asthma
sensitivity to light,vomiting,headache,nausea,neck pain,vision issues,sound sensitivity,,migraine
fatigue,vision issues,nausea,neck pain,vomiting,sensitivity to light,sound sensitivity,headache,migraine
bleeding,loss of appetite,weakness,night sweats,lump,skin changes,fatigue,,cancer
depression,weight gain,fatigue,slow heart rate,dry skin,hair loss,memory problems,,thyroid
chills,cough,fever,phlegm,rapid breathing,shortness of breath,fatigue,,pneumonia
nausea,muscle pain,headache,vomiting,fatigue,fever,sweating,rapid heartbeat,malaria
phlegm,fatigue,rapid breathing,shortness of breath,chills,fever,chest pain,cough,pneumonia
weakness,headache,loss of appetite,body pain,chills,sore throat,high temperature,sweating,fever
loss of appetite,bleeding,weight loss,fatigue,weakness,night sweats,lump,pain,cancer
phlegm,rapid breathing,fatigue,chills,fever,chest pain,shortness of breath,,pneumonia
muscle weakness,dry skin,memory problems,fatigue,weight gain,depression,hair loss,,thyroid
tingling in feet,frequent urination,hunger,increased thirst,fatigue,blurred vision,slow healing,weight loss,diabetes
weight loss,slow healing,tingling in feet,hunger,frequent urination,blurred vision,increased thirst,fatigue,diabetes
weakness,headache,loss of appetite,vomiting,body ache,fever,dry cough,,typhoid
weakness,fever,headache,vomiting,abdominal pain,constipation,loss of appetite,,typhoid
weakness,dry cough,abdominal pain,loss of appetite,headache,vomiting,constipation,fever,typhoid
skin changes,weight loss,lump,night sweats,pain,loss of appetite,weakness,,cancer
sweating,sore throat,weakness,headache,body pain,fatigue,high temperature,,fever
hunger,fatigue,slow healing,blurred vision,frequent urination,increased thirst,weight loss,tingling in feet,diabetes
slow heart rate,memory problems,depression,hair loss,fatigue,weight gain,dry skin,muscle weakness,thyroid
hunger,blurred vision,increased thirst,tingling in feet,weight loss,fatigue,frequent urination,,diabetes
fatigue,shortness of breath,chills,cough,fever,chest pain,phlegm,,pneumonia
fever,constipation,loss of appetite,abdominal pain,body ache,weakness,vomiting,,typhoid
breathlessness,coughing,wheezing,trouble sleeping,chest tightness,short breaths,fatigue,,asthma
cold sweat,fatigue,shortness of breath,nausea,dizziness,left arm pain,irregular heartbeat,,heart attack
dizziness,jaw pain,left arm pain,nausea,shortness of breath,cold sweat,fatigue,,heart attack
body ache,fever,weakness,abdominal pain,headache,dry cough,constipation,loss of appetite,typhoid
loss of appetite,body pain,fatigue,weakness,high temperature,sore throat,sweating,headache,fever
fatigue,memory problems,hair loss,muscle weakness,depression,slow heart rate,dry skin,weight gain,thyroid
sensitivity to light,vomiting,fatigue,sound sensitivity,nausea,neck pain,headache,vision issues,migraine
fatigue,nausea,fever,vomiting,headache,chills,muscle pain,,malaria
coughing,chest tightness,trouble sleeping,fatigue,short breaths,breathlessness,wheezing,rapid breathing,asthma
weight gain,depression,muscle weakness,hair loss,slow heart rate,fatigue,dry skin,,thyroid
fatigue,dry skin,depression,hair loss,weight gain,memory problems,slow heart rate,,thyroid
weight gain,slow heart rate,muscle weakness,depression,fatigue,dry skin,memory problems,hair loss,thyroid
